Fichier;Enr;EAA;Début;Fin;Lever_Soleil_Moy;Coucher_Soleil_Moy;Longueur_Jour_Moy;Latitude;Longitude
Ifremer_1 SMM02747 - 2702_03032024 - Gaia -17,80597, -149,29421 - Carte SD 128 Go A15 extreme;Ifremer_1;SMM02747;27/02/2024;03/03/2024;05:56;18:20;12:23;-17,80597;-149,29421
Ifremer_2 SMM02940 - 2702_03032024 - Gaia -17,80483, -149,29361 - Carte SD 32 Go noire K;Ifremer_2;SMM09240;27/02/2024;03/03/2024;05:56;18:20;12:23;-17,80483;-149,29361
ILM_1 SMM09233  - 1204_170424 - Gaia -17,73177, -149,57868;ILM_1;SMM02747;12/04/2024;17/04/2024;06:08;17:47;11:38;-17,73177;-149,57868
ILM_2 SMM09080 - 1204_170424 - Gaia -17,73335, -149,57899;ILM_2;SMM09080;12/04/2024;17/04/2024;06:08;17:47;11:38;-17,73335;-149,57899
ILM_3 SMM09037 - 1204_170424 - Gaia -17,73234, -149,57782;ILM_3;SMM09285;12/04/2024;17/04/2024;06:08;17:47;11:38;-17,73234;-149,57782
Jardin_Eau_1 SMM09285 - 2803_020424 - Gaia -17,76020, -149,38919 - Carte SD 32 Go noire (PB lecture carte);Jardin_Eau_1;SMM09285;28/03/2024;02/04/2024;06:04;17:58;11:53;-17,76020;-149,38919
Jardin_Eau_2 SMM02747 - 2803_02042024 - Gaia -17,75749, -149,39176 - Carte SD 32 Go J noire;Jardin_Eau_2;SMM02747;28/03/2024;02/04/2024;06:04;17:58;11:53;-17,75749;-149,39176
Jardin_Eau_3 SMM09009 - 2803_02042024 - Gaia -17,75383, -149,39297 - Carte SD 32 Go extreme;Jardin_Eau_3;SMM09009;28/03/2024;02/04/2024;06:04;17:58;11:53;-17,75383;-149,39297
Jardin_Eau_4 SMM09307 - 2803_02042024 - Gaia -17,74614, -149,39308 - Carte SD 64 Go E27 extreme;Jardin_Eau_4;SMM09307;28/03/2024;02/04/2024;06:04;17:58;11:53;-17,749837;-149,393569
Jardin_Eau_5 SMM09037 - 2803_02042024 - Gaia -17,74614, -149,39308 - Carte SD 32 Go  G samsung;Jardin_Eau_5;SMM09037;28/03/2024;02/04/2024;06:04;17:58;11:53;-17,74614;-149,39308
Marae_1 SMM02755 - 1004_15042024 - Gaia -17,69697, -149,58110;Marae_1;SMM02755;10/04/2024;15/04/2024;06:07;11:40;06:07;-17,69697;-149,58110
Marae_2 SMM09307  - 1004_130424 - Gaia -17,69722, -149,57881;Marae_2;SMM09307;10/04/2024;13/04/2024;06:07;17:49;11:41;-17,69722;-149,57881
Marae_3 SMM09106 - 1004_160424 - Gaia -17,69643, -149,57515;Marae_3;SMM09106;10/04/2024;16/04/2024;06:07;17:48;11:40;-17,69643;-149,57515
Marae_4 SMM02747 - 1004_130424 - Gaia -17,69581, -149,57105;Marae_4;SMM02747;10/04/2024;13/04/2024;06:07;17:49;11:41;-17,69581;-149,57105
OBelvedere_1 SMM02928 - 2703_01042024 - Gaia -17,57431, -149,52287 - Carte SD 128 Go A15 extreme (mouillé);OBelvedere_1;SMM02928;27/03/2024;01/04/2024;06:04;17:59;11:54;-17,57431;-149,52287
