lat_4_location;long_4_location;5_Point_name_if_micr
-9.826467;-139.074625;H01
-9.835991;-139.063702;H03
-9.792915;-139.063792;H04
-9.797564;-139.054902;H05
-9.800884;-139.047281;H06
-9.804593;-139.042181;H07
-9.784218;-139.024626;h08
-9.791318;-139.025232;H09
-9.797843;-139.026297;H10
-9.727242;-139.006596;H20
-9.7381;-139.00357;H21
-9.790495;-139.008764;HO11
-9.79475;-139.009716;HO12
-9.773723;-138.88543;HO13
-9.766281;-138.8853;HO14
-9.762677;-138.934366;HO15
-9.768405;-138.937381;HO16
-9.773769;-138.946416;HO17
-9.770636;-138.966715;HO18
-9.718423;-139.011914;HO19
-9.831864;-139.070424;HO2
-9.751953;-139.001892;HO22
-8.892003;-140.166524;NH04
-8.883689;-140.150801;NH05
-8.870346;-140.139983;NH06
-8.923435;-140.113959;NH1
-8.885821;-140.098842;NH10
-8.873771;-140.063645;NH11
-8.866989;-140.073242;NH12
-8.861237;-140.086528;NH13
-8.852084;-140.098496;NH14
-8.840376;-140.096151;NH15
-8.837347;-140.088813;NH16
-8.831527;-140.087306;NH17
-8.818024;-140.092963;NH18
-8.818395;-140.104518;NH19
-8.918034;-140.110948;NH2
-8.899858;-140.103473;Nh20
-8.916764;-140.11789;NH21
-8.918433;-140.124653;NH22
-8.909308;-140.104555;NH3
-8.838017;-140.131149;NH7
-8.847383;-140.140733;NH8
-8.856711;-140.141354;NH9
-9.954552;-139.084391;T1
-9.955336;-139.116574;T10
-9.947455;-139.110059;T11
-9.93955;-139.090131;T12
-9.937777;-139.096374;T13
-9.937046;-139.102274;T14
-9.937851;-139.108621;T15
-9.942224;-139.110633;T16
-9.907104;-139.069125;T17
-9.914513;-139.076178;T18
-9.918993;-139.082803;T19
-9.958963;-139.083496;T2
-9.926057;-139.089709;T20
-9.929192;-139.099795;T21
-9.930025;-139.113566;T22
-9.956688;-139.080742;T3
-9.966495;-139.095238;T4
-9.9699;-139.103294;T5
-9.974666;-139.108139;T6
-9.977539;-139.122308;T7
-9.972617;-139.127232;T8
-9.967615;-139.119136;T9
-8.919127;-139.524358;UH10
-8.922512;-139.523832;UH11
-8.930435;-139.526924;UH12
-8.911921;-139.530661;UH13
-8.916285;-139.532659;UH14
-8.924418;-139.533746;UH15
-8.92121;-139.542346;UH16
-8.926753;-139.542446;UH17
-8.926527;-139.584497;UH18
-8.931045;-139.586102;Uh19
-8.900235;-139.555435;UH2
-8.906196;-139.568337;Uh20
-8.919003;-139.571637;UH21
-8.913683;-139.570799;Uh22
-8.905483;-139.561188;UH3
-8.908883;-139.546921;UH4
-8.907446;-139.554783;UH5
-8.911546;-139.5613;UH6
-8.914104;-139.567253;UH7
-8.918265;-139.562266;UH8
-8.914808;-139.524793;UH9
-9.974938;-138.829466;MT1
