Latitude;Longitude
-17.80597;-149.29421
-17.80483;-149.29361
-17.73177;-149.57868
-17.73335;-149.57899
-17.73234;-149.57782
-17.7602;-149.38919
-17.75749;-149.39176
-17.75383;-149.39297
-17.749837;-149.393569
-17.74614;-149.39308
-17.69697;-149.5811
-17.69722;-149.57881
-17.69643;-149.57515
-17.69581;-149.57105
-17.57431;-149.52287
-17.57137;-149.52481
-17.56843;-149.52697
-17.56543;-149.52914
-17.56375;-149.53238
-17.55964;-149.53662
-17.55615;-149.53839
-17.55266;-149.53822
-17.54944;-149.54273
-17.54568;-149.54451
-17.53843;-149.548
-17.53502;-149.55922
-17.53199;-149.56194
-17.53325;-149.56791
-17.52491;-149.55676
-17.78532;-149.247
-17.78252;-149.24942
-17.78001;-149.25222
-17.77712;-149.2544
-17.77749;-149.25852
-17.77471;-149.26167
-17.77101;-149.26569
-17.76659;-149.26981
-17.76375;-149.27422
-17.87781;-149.18525
-17.87648;-149.18449
-17.8736;-149.18278
-17.87116;-149.18017
-17.77881;-149.27769
-17.78095;-149.27371
-17.607;-149.597
-17.62345;-149.61086
-17.62143;-149.60544
-17.62025;-149.60088
-17.62003;-149.597
-17.61808;-149.59391
-17.61771;-149.5895
